,judul berita,penerbit,sinopsis,link
0,Indonesia tunjukkan transformasi pendidikan lewat wadah digital,ANTARA News Jambi,ANTARA - Indonesia menunjukkan sejumlah platform berbasis teknologi digital seperti Platform Merdeka Mengajar dan Rapor Pendidikan kepada...17 jam yang lalu,https://jambi.antaranews.com/rilis-pers/4369531/indonesia-tunjukkan-transformasi-pendidikan-lewat-wadah-digital&sa=U&ved=2ahUKEwj38462mu-IAxWhxzgGHQ1PFv0QxfQBegQICBAC&usg=AOvVaw2TEw--i9lSTEudJmz4yEzT
1,Kemendikbudristek Temukan 4 Kecurangan Penerima Beasiswa Pendidikan Indonesia,detikcom,"Balai Pembiayaan Pendidikan Tinggi (BPPT) Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi (Kemendikbudristek) menemukan tiga...1 hari lalu",https://www.detik.com/edu/beasiswa/d-7564848/kemendikbudristek-temukan-4-kecurangan-penerima-beasiswa-pendidikan-indonesia&sa=U&ved=2ahUKEwj38462mu-IAxWhxzgGHQ1PFv0QxfQBegQICRAC&usg=AOvVaw2QwNdZM_SlEOMjiT-bw_CD
2,Kemendikbud Ungkap Pelanggaran Mahasiswa Penerima Beasiswa Pendidikan Indonesia,Kompas.com,Kemendikbud Ristek menungkap beragam pelanggaran yang dilakukan oleh penerima Beasiswa Pendidikan Indonesia (BPI).22 jam yang lalu,https://www.kompas.com/edu/read/2024/10/01/165258371/kemendikbud-ungkap-pelanggaran-mahasiswa-penerima-beasiswa-pendidikan&sa=U&ved=2ahUKEwj38462mu-IAxWhxzgGHQ1PFv0QxfQBegQIBBAC&usg=AOvVaw1KKc87yoo_flqekpYzUx0Z
3,Staf Khusus Nadiem Beberkan Tiga Tantangan Besar Mengelola Pendidikan Tinggi di Indonesia,Medcom.id,"Bali: Staf Khusus Mendikbudristek Bidang Kompetensi dan Manajemen, Pramoda Dei Sudarmo, menyatakan mengelola ekosistem pendidikan tinggi di...4 jam yang lalu",https://www.medcom.id/pendidikan/news-pendidikan/GbmD341N-staf-khusus-nadiem-beberkan-tiga-tantangan-besar-mengelola-pendidikan-tinggi-di-indonesia&sa=U&ved=2ahUKEwj38462mu-IAxWhxzgGHQ1PFv0QxfQBegQIBRAC&usg=AOvVaw3ciMSSvvRBj7W1ooK0PAiT
4,Pemuda Didorong Berperan Aktif dalam Kebijakan Pendidikan Indonesia,Borneonews,Billy Mambrasar mengajak pemuda berperan aktif dalam kebijakan pendidikan. Temukan ide kreatif mereka untuk menciptakan pendidikan yang lebih inklusif dan...18 jam yang lalu,https://www.borneonews.co.id/berita/385694-pemuda-didorong-berperan-aktif-dalam-kebijakan-pendidikan-indonesia&sa=U&ved=2ahUKEwj38462mu-IAxWhxzgGHQ1PFv0QxfQBegQIARAC&usg=AOvVaw3wNaVNoUirh4-JTMbP2ybM
5,Wajibnya Siswa Naik Kelas Membuat Pendidikan Indonesia Mengalami Kemerosotan - kumparan.com,Kumparan,kewajiban naik kelas membuat penurunan kualitas pendidikan Indonesia. hal ini menjadi sebuah permasalahan yang harus diatasi.5 jam yang lalu,https://m.kumparan.com/ardiyah/wajibnya-siswa-naik-kelas-membuat-pendidikan-indonesia-mengalami-kemerosotan-23dUDLzgCoC&sa=U&ved=2ahUKEwj38462mu-IAxWhxzgGHQ1PFv0QxfQBegQIABAC&usg=AOvVaw0tqZC2im9Jx_k0CXZH3ozR
6,Cara Cucu Ki Hadjar Dewantara Mentranformasi Pendidikan Indonesia,VIVA.co.id,"HighScope Indonesia Institute hari ini resmi mengumumkan perubahan nama menjadi Redea Institute, menandai langkah strategis dalam...57 menit yang lalu",https://www.viva.co.id/edukasi/1757570-cara-cucu-ki-hadjar-dewantara-mentranformasi-pendidikan-indonesia&sa=U&ved=2ahUKEwj38462mu-IAxWhxzgGHQ1PFv0QxfQBegQIAxAC&usg=AOvVaw3o-J5RlIPxo0N8R0rUygBP
7,Pembangunan Pendidikan Kian Berdampak dan Berada di Koridor yang Tepat,Media Indonesia,Selama 10 tahun terakhir berdasarkan data Badan Pusat Statistik BPS Indeks Pembangunan Manusia IPM Indonesia mengalami tren peningkatan dari...1 hari lalu,https://mediaindonesia.com/pendidikan/705132/pembangunan-pendidikan-kian-berdampak-dan-berada-di-koridor-yang-tepat&sa=U&ved=2ahUKEwj38462mu-IAxWhxzgGHQ1PFv0QxfQBegQIBhAC&usg=AOvVaw14ahdjSprFagd5VJmjZIp6
8,"Lewat Program Beasiswa, Bayan Peduli Komitmen Dukung Kemajuan Pendidikan Indonesia",Warta Ekonomi,"Sejak diluncurkan pada April 2022, Bayan Peduli telah melakukan program-program dukungan untuk kemajuan Indonesia berdasarkan 4 Pillar...1 hari lalu",https://wartaekonomi.co.id/read545767/lewat-program-beasiswa-bayan-peduli-komitmen-dukung-kemajuan-pendidikan-indonesia&sa=U&ved=2ahUKEwj38462mu-IAxWhxzgGHQ1PFv0QxfQBegQIAhAC&usg=AOvVaw0WCYSYWMtNA_P8d3t3Op9U
9,"Jelang Gateways Study Visit, Indonesia Siap Berbagi Kunci Transformasi Pendidikan",ditpsd.kemdikbud.go.id,"Seperti diyakini oleh UNESCO dan UNICEF, kehadiran platform dan konten digital akan membuka akses lebih luas terhadap pembelajaran...2 hari lalu",https://ditpsd.kemdikbud.go.id/artikel/detail/jelang-gateways-study-visit-indonesia-siap-berbagi-kunci-transformasi-pendidikan&sa=U&ved=2ahUKEwj38462mu-IAxWhxzgGHQ1PFv0QxfQBegQIBxAC&usg=AOvVaw2hccPy_o7eoxaoPsPLi_ny
